Date,Product Name,Quantity Used
2022-04-24 21:31:38.672717,Brake Pads,5
2022-04-24 21:31:38.672717,LED Headlight,3
2022-04-24 21:31:38.672717,Radiator,18
2022-04-24 21:31:38.672717,Spark Plug,2
2022-04-24 21:31:38.672717,Tire,14
2022-04-24 21:31:38.672717,Windshield Wiper,10
2022-04-25 21:31:38.672717,Air Filter,4
2022-04-25 21:31:38.672717,Alternator,12
2022-04-25 21:31:38.672717,Engine Oil,4
2022-04-25 21:31:38.672717,LED Headlight,15
2022-04-26 21:31:38.672717,Engine Oil,7
2022-04-26 21:31:38.672717,LED Headlight,4
2022-04-26 21:31:38.672717,Radiator,5
2022-04-26 21:31:38.672717,Spark Plug,4
2022-04-26 21:31:38.672717,Tire,11
2022-04-27 21:31:38.672717,Brake Pads,6
2022-04-27 21:31:38.672717,Engine Oil,4
2022-04-27 21:31:38.672717,Spark Plug,6
2022-04-28 21:31:38.672717,Air Filter,10
2022-04-28 21:31:38.672717,Engine Oil,5
2022-04-28 21:31:38.672717,Fuel Pump,3
2022-04-28 21:31:38.672717,Radiator,5
2022-04-28 21:31:38.672717,Spark Plug,4
2022-04-29 21:31:38.672717,Alternator,4
2022-04-29 21:31:38.672717,Brake Pads,6
2022-04-30 21:31:38.672717,Brake Pads,4
2022-04-30 21:31:38.672717,Engine Oil,9
2022-04-30 21:31:38.672717,Fuel Pump,7
2022-04-30 21:31:38.672717,LED Headlight,3
2022-04-30 21:31:38.672717,Radiator,8
2022-04-30 21:31:38.672717,Tire,7
2022-04-30 21:31:38.672717,Windshield Wiper,12
2022-05-01 21:31:38.672717,Brake Pads,3
2022-05-01 21:31:38.672717,Engine Oil,6
2022-05-01 21:31:38.672717,LED Headlight,6
2022-05-01 21:31:38.672717,Radiator,10
2022-05-01 21:31:38.672717,Spark Plug,2
2022-05-01 21:31:38.672717,Tire,4
2022-05-02 21:31:38.672717,Radiator,10
2022-05-02 21:31:38.672717,Spark Plug,5
2022-05-03 21:31:38.672717,Alternator,6
2022-05-03 21:31:38.672717,Brake Pads,4
2022-05-03 21:31:38.672717,Engine Oil,7
2022-05-03 21:31:38.672717,Fuel Pump,7
2022-05-03 21:31:38.672717,Radiator,1
2022-05-03 21:31:38.672717,Spark Plug,5
2022-05-03 21:31:38.672717,Tire,3
2022-05-03 21:31:38.672717,Windshield Wiper,12
2022-05-04 21:31:38.672717,Air Filter,7
2022-05-04 21:31:38.672717,Engine Oil,7
2022-05-04 21:31:38.672717,Radiator,10
2022-05-04 21:31:38.672717,Windshield Wiper,7
2022-05-05 21:31:38.672717,Air Filter,6
2022-05-05 21:31:38.672717,Alternator,3
2022-05-05 21:31:38.672717,Brake Pads,14
2022-05-05 21:31:38.672717,Fuel Pump,3
2022-05-05 21:31:38.672717,LED Headlight,4
2022-05-05 21:31:38.672717,Spark Plug,3
2022-05-05 21:31:38.672717,Tire,7
2022-05-05 21:31:38.672717,Windshield Wiper,22
2022-05-06 21:31:38.672717,Air Filter,5
2022-05-06 21:31:38.672717,Brake Pads,4
2022-05-06 21:31:38.672717,Engine Oil,9
2022-05-06 21:31:38.672717,Fuel Pump,7
2022-05-06 21:31:38.672717,LED Headlight,18
2022-05-06 21:31:38.672717,Windshield Wiper,3
2022-05-07 21:31:38.672717,Air Filter,25
2022-05-07 21:31:38.672717,Alternator,4
2022-05-07 21:31:38.672717,Spark Plug,9
2022-05-08 21:31:38.672717,Air Filter,11
2022-05-08 21:31:38.672717,Alternator,3
2022-05-08 21:31:38.672717,Engine Oil,3
2022-05-08 21:31:38.672717,Fuel Pump,11
2022-05-09 21:31:38.672717,Fuel Pump,10
2022-05-09 21:31:38.672717,LED Headlight,9
2022-05-09 21:31:38.672717,Tire,3
2022-05-10 21:31:38.672717,Air Filter,11
2022-05-10 21:31:38.672717,Alternator,3
2022-05-10 21:31:38.672717,Brake Pads,5
2022-05-10 21:31:38.672717,Engine Oil,4
2022-05-10 21:31:38.672717,Fuel Pump,11
2022-05-10 21:31:38.672717,Radiator,5
2022-05-10 21:31:38.672717,Spark Plug,15
2022-05-10 21:31:38.672717,Windshield Wiper,10
2022-05-11 21:31:38.672717,Alternator,6
2022-05-11 21:31:38.672717,Radiator,5
2022-05-11 21:31:38.672717,Tire,5
2022-05-12 21:31:38.672717,Air Filter,12
2022-05-12 21:31:38.672717,Alternator,3
2022-05-12 21:31:38.672717,Brake Pads,4
2022-05-12 21:31:38.672717,Engine Oil,7
2022-05-12 21:31:38.672717,LED Headlight,9
2022-05-12 21:31:38.672717,Spark Plug,4
2022-05-12 21:31:38.672717,Tire,10
2022-05-13 21:31:38.672717,Brake Pads,2
2022-05-13 21:31:38.672717,Engine Oil,10
2022-05-13 21:31:38.672717,Fuel Pump,2
2022-05-13 21:31:38.672717,LED Headlight,6
2022-05-13 21:31:38.672717,Windshield Wiper,15
2022-05-14 21:31:38.672717,Alternator,1
2022-05-14 21:31:38.672717,Brake Pads,8
2022-05-14 21:31:38.672717,Engine Oil,7
2022-05-14 21:31:38.672717,LED Headlight,13
2022-05-14 21:31:38.672717,Spark Plug,3
2022-05-14 21:31:38.672717,Windshield Wiper,5
2022-05-15 21:31:38.672717,Air Filter,7
2022-05-15 21:31:38.672717,Alternator,8
2022-05-15 21:31:38.672717,Brake Pads,10
2022-05-15 21:31:38.672717,Engine Oil,7
2022-05-15 21:31:38.672717,Fuel Pump,9
2022-05-15 21:31:38.672717,Radiator,8
2022-05-15 21:31:38.672717,Spark Plug,11
2022-05-15 21:31:38.672717,Tire,5
2022-05-15 21:31:38.672717,Windshield Wiper,7
2022-05-16 21:31:38.672717,Air Filter,8
2022-05-16 21:31:38.672717,Brake Pads,7
2022-05-16 21:31:38.672717,Engine Oil,3
2022-05-16 21:31:38.672717,LED Headlight,14
2022-05-16 21:31:38.672717,Radiator,2
2022-05-16 21:31:38.672717,Spark Plug,5
2022-05-16 21:31:38.672717,Tire,5
2022-05-17 21:31:38.672717,LED Headlight,5
2022-05-18 21:31:38.672717,Air Filter,18
2022-05-18 21:31:38.672717,Fuel Pump,5
2022-05-18 21:31:38.672717,LED Headlight,7
2022-05-18 21:31:38.672717,Radiator,6
2022-05-18 21:31:38.672717,Spark Plug,8
2022-05-18 21:31:38.672717,Tire,4
2022-05-19 21:31:38.672717,Air Filter,2
2022-05-19 21:31:38.672717,Fuel Pump,16
2022-05-19 21:31:38.672717,Radiator,5
2022-05-19 21:31:38.672717,Tire,5
2022-05-20 21:31:38.672717,Brake Pads,7
2022-05-20 21:31:38.672717,LED Headlight,11
2022-05-20 21:31:38.672717,Spark Plug,7
2022-05-21 21:31:38.672717,Alternator,12
2022-05-21 21:31:38.672717,Engine Oil,8
2022-05-21 21:31:38.672717,Radiator,8
2022-05-21 21:31:38.672717,Spark Plug,8
2022-05-21 21:31:38.672717,Tire,6
2022-05-22 21:31:38.672717,Air Filter,11
2022-05-22 21:31:38.672717,Alternator,8
2022-05-22 21:31:38.672717,Brake Pads,12
2022-05-22 21:31:38.672717,Engine Oil,8
2022-05-22 21:31:38.672717,LED Headlight,5
2022-05-22 21:31:38.672717,Tire,4
2022-05-22 21:31:38.672717,Windshield Wiper,5
2022-05-23 21:31:38.672717,Brake Pads,9
2022-05-23 21:31:38.672717,Radiator,4
2022-05-23 21:31:38.672717,Spark Plug,5
2022-05-24 21:31:38.672717,Fuel Pump,1
2022-05-24 21:31:38.672717,LED Headlight,5
2022-05-24 21:31:38.672717,Radiator,8
2022-05-24 21:31:38.672717,Windshield Wiper,5
2022-05-25 21:31:38.672717,Alternator,7
2022-05-25 21:31:38.672717,Brake Pads,4
2022-05-25 21:31:38.672717,Radiator,5
2022-05-26 21:31:38.672717,Air Filter,7
2022-05-26 21:31:38.672717,Alternator,2
2022-05-26 21:31:38.672717,Brake Pads,6
2022-05-26 21:31:38.672717,Radiator,1
2022-05-26 21:31:38.672717,Spark Plug,9
2022-05-27 21:31:38.672717,Air Filter,8
2022-05-27 21:31:38.672717,Brake Pads,0
2022-05-27 21:31:38.672717,Tire,2
2022-05-28 21:31:38.672717,LED Headlight,9
2022-05-28 21:31:38.672717,Radiator,12
2022-05-28 21:31:38.672717,Tire,8
2022-05-28 21:31:38.672717,Windshield Wiper,8
2022-05-29 21:31:38.672717,Air Filter,5
2022-05-29 21:31:38.672717,Alternator,4
2022-05-29 21:31:38.672717,Brake Pads,4
2022-05-29 21:31:38.672717,Fuel Pump,11
2022-05-29 21:31:38.672717,LED Headlight,8
2022-05-30 21:31:38.672717,Air Filter,2
2022-05-30 21:31:38.672717,Fuel Pump,2
2022-05-30 21:31:38.672717,Spark Plug,9
2022-05-30 21:31:38.672717,Windshield Wiper,6
2022-05-31 21:31:38.672717,Brake Pads,6
2022-05-31 21:31:38.672717,Fuel Pump,8
2022-05-31 21:31:38.672717,LED Headlight,11
2022-05-31 21:31:38.672717,Windshield Wiper,5
2022-06-01 21:31:38.672717,Air Filter,6
2022-06-01 21:31:38.672717,Alternator,9
2022-06-01 21:31:38.672717,Brake Pads,3
2022-06-01 21:31:38.672717,Engine Oil,17
2022-06-01 21:31:38.672717,Fuel Pump,17
2022-06-01 21:31:38.672717,LED Headlight,2
2022-06-01 21:31:38.672717,Tire,20
2022-06-01 21:31:38.672717,Windshield Wiper,10
2022-06-02 21:31:38.672717,Brake Pads,3
2022-06-02 21:31:38.672717,LED Headlight,11
2022-06-02 21:31:38.672717,Radiator,5
2022-06-02 21:31:38.672717,Spark Plug,10
2022-06-02 21:31:38.672717,Tire,9
2022-06-02 21:31:38.672717,Windshield Wiper,10
2022-06-03 21:31:38.672717,Alternator,4
2022-06-03 21:31:38.672717,Engine Oil,7
2022-06-03 21:31:38.672717,Fuel Pump,4
2022-06-03 21:31:38.672717,LED Headlight,7
2022-06-03 21:31:38.672717,Radiator,14
2022-06-03 21:31:38.672717,Tire,8
2022-06-03 21:31:38.672717,Windshield Wiper,3
2022-06-04 21:31:38.672717,Air Filter,7
2022-06-04 21:31:38.672717,Alternator,3
2022-06-04 21:31:38.672717,Engine Oil,4
2022-06-04 21:31:38.672717,Fuel Pump,7
2022-06-04 21:31:38.672717,Tire,6
2022-06-05 21:31:38.672717,Air Filter,7
2022-06-05 21:31:38.672717,Brake Pads,5
2022-06-05 21:31:38.672717,Engine Oil,4
2022-06-05 21:31:38.672717,Fuel Pump,2
2022-06-05 21:31:38.672717,Spark Plug,7
2022-06-05 21:31:38.672717,Tire,7
2022-06-05 21:31:38.672717,Windshield Wiper,13
2022-06-06 21:31:38.672717,Air Filter,4
2022-06-06 21:31:38.672717,Brake Pads,6
2022-06-06 21:31:38.672717,Engine Oil,4
